Data,Notícia
2024-08-13,"Ibovespa fecha acima de 132 mil pontos, o maior índice desde janeiro de 2024"
2024-08-13,Dólar e Ibovespa hoje: o que esperar dos negócios na B3 nesta terça
2024-08-12,"Ibovespa fecha com 5ª alta seguida no maior nível desde fevereiro, com 
PETR4 e bancos"
2024-08-12,"Tempo real: Ibovespa (IBOV) supera os 131 mil pontos com alta de Petrobras 
(PETR4); dólar cai a R$ 5,49"
2024-08-12,"Juros futuros abandonam as mínimas do dia após declarações de Galípolo; 
Ibovespa se afasta da máxima"
2024-08-12,"Ibovespa hoje: índice volta a operar acima dos 131 mil pontos após 7 meses; 
veja o que impacta a Bolsa – Tempo Real – Estadão E-Investidor – As 
principais notícias do mercado financeiro"
2024-08-12,"Ibovespa fecha em alta e dólar cai, ambos pelo 5º pregão"
2024-08-12,"Ibovespa opera em alta e volta aos 131 mil pontos; Vale (VALE3) cai e 
Petrobras (PETR4) sobe"
2024-08-12,"""Ibovespa ampliado"" terá Nubank, Inter, XP, Stone e PagSeguro"
2024-08-12,"Alta do petróleo faz Ibovespa subir 0,38% e bater 131 mil pontos; dólar cai 
0,34%"
2024-08-12,Ibovespa tem leve alta com Petrobras e balanços e supera os 131 mil pontos
2024-08-12,"Ibovespa fecha em alta pelo 5° pregão consecutivo; Petrobras (PETR4) sobe e 
Vale (VALE3) recua"
2024-08-11,"Ibovespa em alta e dólar em baixa? O que a análise técnica aponta para 
semana"
2024-08-11,"5 ações para bater o Ibovespa (IBOV) na segunda semana de agosto, segundo 
MyCap"
2024-08-11,Estudo semanal do Ibovespa 11/08
2024-08-11,"Semana selvagem na bolsa: após surto de turbulência, para onde o investidor 
vai olhar agora?"
2024-08-11,"Calendário de resultados do 2T24: Veja as datas e horários dos balanços das 
empresas da B3"
2024-08-11,PagBank troca 3 ações em carteira recomendada semanal; veja onde investir
2024-08-11,"Lotofácil: aposta de Blumenau acerta e ganha R$ 1,5 mi; veja as dezenas"
2024-08-11,"Minas Gerais vai contar com R$ 171,9 bilhões do novo PAC"
2024-08-11,"Alexandre Fernandes (PL) 22: Candidato a Prefeito em aluminio | Eleições 
2024"
2024-08-11,"Juros nos EUA: como Trump pode influenciar as decisões do Fed se voltar à 
Casa Branca — Kamala Harris discorda"
2024-08-10,"Gatilhos para a alta do Ibovespa estão sendo ativados, segundo analista; 
veja as melhores ações para ‘surfar’ o momento promissor"
2024-08-10,"Mesmo com ‘segunda-feira do pânico’, gringos devolvem R$ 1,15 bilhão para a 
B3 na semana; veja o saldo"
2024-08-10,"Assista do estudo do Ibovespa, Vale3, Petr4, Itub4, Bbdc4, Beef3 e de Raiz4"
2024-08-10,"Ibovespa tem 4ª alta seguida e fecha na máxima desde fevereiro; Petrobras 
recua"
2024-08-10,"“Bolsa pode subir com a expectativa de queda de juros nos EUA”, diz CEO da 
Asset da Warren – Mercado – Estadão E-Investidor – As principais notícias 
do mercado financeiro"
2024-08-10,"‘Adeus’ de Campos Neto ao Banco Central é um dos gatilhos para a 
recuperação da bolsa? Entenda"
2024-08-10,"Banco do Brasil, Bradesco, Itaú e Santander: quem leva a ""medalha de ouro"" 
dos lucros dos grandes bancos no 2T24?"
2024-08-10,"Bitcoin (BTC) derretendo, caos nas bolsas e o futuro dos juros no Brasil: 
confira o que foi destaque no Seu Dinheiro"
2024-08-10,"Mais uma chance de se tornar um milionário: Mega-Sena sorteia neste sábado 
(10) prêmio acumulado em R$ 38 milhões"
2024-08-09,"Ibovespa engata 4ª alta seguida, volta aos 130 mil pontos e fecha semana no 
positivo"
2024-08-09,"Ibovespa supera os 130 pontos e avança mais de 3% na semana; dólar cai a R$ 
5,51 com IPCA"
2024-08-09,"Ibovespa volta aos 130 mil pontos, após diminuir a chance de recessão dos 
EUA; dólar cai a R$ 5,51"
